room_index,room_dim,mic_region,z_slice,t60,source_position
21,"[11.17, 10.22, 4.19]","[[8.56, 9.56], [6.84, 7.84]]",1.6,0.5567267038889556,"[9.765997629526462, 1.471981700154151, 2.423764594939351]"
22,"[9.9, 10.23, 3.25]","[[5.11, 6.11], [0.83, 1.83]]",1.16,0.514522489215032,"[8.573860980889917, 8.628398151376619, 1.5359445282841795]"
23,"[11.84, 8.41, 2.95]","[[4.42, 5.42], [4.83, 5.83]]",0.57,0.5016721256823737,"[2.3539321097454318, 5.9116307423073975, 0.6176055113067828]"
24,"[6.39, 10.75, 3.78]","[[1.24, 2.24], [5.15, 6.15]]",1.87,0.4877442917842849,"[1.032961234809548, 7.017710243852071, 1.1781709904292228]"
25,"[9.37, 10.84, 3.21]","[[5.77, 6.77], [7.6, 8.6]]",2.18,0.5134512154287048,"[6.630217863197394, 0.686126969261274, 2.1411433753917564]"
26,"[8.7, 9.84, 2.94]","[[3.31, 4.31], [2.67, 3.67]]",1.65,0.4842240371801505,"[2.0806102372559807, 5.052645482373427, 0.9419538695819663]"
27,"[11.33, 9.61, 3.24]","[[1.97, 2.97], [7.13, 8.13]]",2.5,0.5223495600120243,"[10.231297237016493, 5.352609090515684, 1.0684765103081952]"
28,"[11.01, 7.78, 3.43]","[[2.28, 3.28], [0.52, 1.52]]",1.35,0.5016958693610949,"[5.060467121001404, 1.121368051462311, 0.6545423020435424]"
29,"[9.46, 11.6, 4.45]","[[6.24, 7.24], [2.75, 3.75]]",2.21,0.5590643755185072,"[2.1999205973781772, 8.341386137831645, 1.6166224555668927]"
30,"[9.07, 11.8, 3.87]","[[3.5, 4.5], [10.25, 11.25]]",2.84,0.5404720674401343,"[2.416113636582863, 10.26792697397826, 1.1704005162273359]"
31,"[11.14, 10.81, 3.48]","[[5.75, 6.75], [6.05, 7.05]]",2.21,0.5417954334717764,"[1.0364461804584497, 7.465695446431676, 2.3380290971452493]"
32,"[11.37, 8.23, 2.84]","[[8.16, 9.16], [6.36, 7.36]]",1.11,0.490364446386231,"[3.6148567798149713, 6.538404820754361, 1.388802625432947]"
33,"[9.7, 11.68, 4.32]","[[7.36, 8.36], [7.26, 8.26]]",0.88,0.5593215642029598,"[3.6547514852172522, 4.9508560868545555, 1.6496877334222335]"
34,"[11.57, 10.7, 3.1]","[[3.0, 4.0], [3.34, 4.34]]",0.8,0.5318604959225204,"[8.767461568502327, 6.266739664698098, 1.3897734248649503]"
35,"[10.94, 9.26, 4.4]","[[1.9, 2.9], [7.3, 8.3]]",0.92,0.5487610561430387,"[9.57726740327551, 6.8827816074936425, 3.2925581030774023]"
36,"[10.28, 8.72, 3.27]","[[6.7, 7.7], [1.0, 2.0]]",2.47,0.5014349115855486,"[3.657218321894471, 6.138801212504537, 0.5558431620723967]"
37,"[10.9, 6.31, 3.98]","[[2.41, 3.41], [4.69, 5.69]]",1.17,0.4937081216071959,"[10.237416248493723, 2.2437346195199632, 0.6272133565666993]"
38,"[8.53, 8.83, 4.06]","[[6.36, 7.36], [2.68, 3.68]]",2.96,0.5062132997637943,"[6.500984693640229, 6.776566176341982, 1.4970367823026853]"
39,"[10.97, 6.75, 4.13]","[[4.41, 5.41], [4.21, 5.21]]",0.74,0.5062197175361556,"[1.3867508508062096, 0.777616413998667, 1.859268665040903]"
40,"[10.27, 8.97, 4.21]","[[5.29, 6.29], [1.93, 2.93]]",0.73,0.5330476954440301,"[9.438176397270368, 7.9675390278225215, 2.458414938955997]"
41,"[7.77, 10.9, 3.21]","[[4.9, 5.9], [7.34, 8.34]]",1.96,0.49293166277806666,"[1.2542703003357463, 3.3197650062520467, 2.5375458243443814]"
42,"[10.28, 10.26, 4.15]","[[1.45, 2.45], [3.99, 4.99]]",3.49,0.5467090287582582,"[8.621374802963473, 9.425880902533784, 1.1246735365164047]"
43,"[7.45, 8.11, 4.27]","[[1.49, 2.49], [1.71, 2.71]]",3.01,0.4870173005159629,"[3.4701054641785096, 1.7245924756362496, 1.1616864419870003]"
44,"[8.44, 11.08, 3.37]","[[0.83, 1.83], [8.67, 9.67]]",0.95,0.5096131480512451,"[0.9401436713072067, 9.574771566508806, 2.0384303077126162]"
45,"[8.94, 11.69, 4.24]","[[2.03, 3.03], [0.6, 1.6]]",1.17,0.5480946505031276,"[6.65247930325131, 10.861958602365664, 1.1811022002050722]"
46,"[8.89, 7.89, 4.07]","[[3.19, 4.19], [5.31, 6.31]]",2.97,0.4984490250852621,"[3.608796362122677, 4.296188581288179, 2.0950044919435964]"
47,"[8.18, 9.45, 3.45]","[[5.99, 6.99], [1.82, 2.82]]",2.68,0.49076109388600364,"[4.153689619980818, 1.3539946972079484, 0.5438412713371137]"
48,"[10.29, 8.07, 3.72]","[[5.15, 6.15], [4.64, 5.64]]",2.62,0.5073562808352643,"[1.1033622829705307, 1.7692040209040074, 2.3193400644464486]"
49,"[6.27, 11.3, 4.15]","[[4.51, 5.51], [5.27, 6.27]]",3.59,0.5017824610668195,"[2.8773300508106794, 8.037527635900137, 2.613819186316343]"
50,"[8.02, 11.52, 4.35]","[[0.52, 1.52], [7.42, 8.42]]",1.84,0.5370701871247584,"[5.141047993079865, 10.877660158662582, 3.5825410183182913]"
51,"[9.93, 7.55, 4.07]","[[1.36, 2.36], [2.92, 3.92]]",3.38,0.5059675584309452,"[6.718127979261533, 2.858095971877803, 0.6479810592838553]"
52,"[8.85, 7.45, 4.22]","[[3.86, 4.86], [5.28, 6.28]]",0.9,0.49554711854602596,"[7.815697007500918, 1.946331773320033, 3.5569738254134133]"
53,"[6.12, 11.34, 4.11]","[[2.19, 3.19], [4.78, 5.78]]",2.11,0.49835363763041474,"[5.322523934761575, 9.589300260450004, 3.5925055535379333]"
54,"[11.0, 9.92, 4.03]","[[4.5, 5.5], [5.55, 6.55]]",2.44,0.5472344448979135,"[7.3843672713425, 2.119733518660083, 3.1080373092877265]"
55,"[11.8, 8.52, 2.65]","[[4.53, 5.53], [5.48, 6.48]]",0.89,0.49064754376250475,"[10.198053768491617, 3.995939847661221, 0.7568475791772089]"
56,"[11.92, 7.65, 4.38]","[[8.31, 9.31], [5.23, 6.23]]",3.16,0.536367068276103,"[7.072466788557536, 3.531117564839934, 3.0384467984871733]"
57,"[9.87, 11.55, 4.14]","[[1.54, 2.54], [5.0, 6.0]]",2.25,0.5552138642848617,"[5.243799097037034, 11.04986126703977, 1.4005779495721127]"
58,"[10.87, 11.45, 2.81]","[[7.28, 8.28], [8.92, 9.92]]",1.56,0.5213727511734931,"[8.265289175718836, 1.9850655414577876, 0.8008901671942688]"
59,"[9.0, 7.54, 3.88]","[[4.62, 5.62], [0.76, 1.76]]",0.57,0.48931585103485964,"[8.371670361787846, 6.886467795794125, 2.088667545051853]"
60,"[10.13, 8.9, 3.19]","[[8.4, 9.4], [5.36, 6.36]]",1.01,0.49928543511621726,"[5.814584248058033, 6.03218700734127, 1.4811588790056187]"
61,"[10.03, 6.97, 4.4]","[[5.78, 6.78], [5.3, 6.3]]",2.82,0.5068764607771998,"[4.771700726413433, 1.5361862486976499, 1.2842306513285904]"
62,"[9.2, 10.24, 4.05]","[[3.11, 4.11], [6.15, 7.15]]",2.89,0.5312011298720094,"[5.13922894625298, 5.5693684678844875, 2.4911413072469184]"
63,"[9.39, 10.25, 4.31]","[[5.71, 6.71], [5.88, 6.88]]",0.7,0.54064534923284,"[2.6060223858268574, 7.587087108767638, 0.9659517546575696]"
64,"[7.0, 11.67, 3.45]","[[5.01, 6.01], [5.72, 6.72]]",2.27,0.49699687769455436,"[0.7640902659323343, 9.662725621258664, 1.9179965703021895]"
65,"[10.4, 7.82, 4.45]","[[6.21, 7.21], [2.75, 3.75]]",3.77,0.5252360268682855,"[9.262181373569312, 1.710854527313987, 2.2150302521766996]"
66,"[9.28, 11.92, 3.72]","[[4.11, 5.11], [9.32, 10.32]]",2.1,0.5397354645912941,"[7.356002411733188, 4.2743135619005805, 0.7807843453043106]"
67,"[9.58, 11.67, 4.22]","[[4.82, 5.82], [8.71, 9.71]]",2.99,0.5551746921822529,"[7.485979211863014, 10.060273132603449, 1.3266636950956054]"
68,"[9.91, 9.88, 4.23]","[[1.34, 2.34], [6.85, 7.85]]",3.37,0.5404644512764659,"[6.838658526146789, 3.8455328573778917, 1.2469079079337746]"
69,"[11.37, 6.4, 3.66]","[[1.96, 2.96], [4.48, 5.48]]",2.89,0.4906095962571686,"[1.0277496464297844, 0.6524691940592547, 2.8456098432440884]"
70,"[9.1, 9.07, 3.27]","[[0.86, 1.86], [6.02, 7.02]]",0.73,0.49211107233078355,"[4.1441016128559, 6.563159876829596, 2.2896223208862176]"
71,"[11.64, 11.14, 3.04]","[[7.4, 8.4], [1.2, 2.2]]",0.51,0.5348850562376867,"[6.524332534054226, 5.169560206102869, 2.183646528073005]"
72,"[11.11, 11.78, 3.7]","[[5.33, 6.33], [8.72, 9.72]]",2.48,0.5581158790993258,"[1.2604599857646799, 7.051308176585257, 2.0562541909740526]"
73,"[10.56, 8.16, 4.47]","[[4.84, 5.84], [6.31, 7.31]]",1.87,0.5322720160217337,"[5.440473171978901, 6.021238822301426, 1.627879215284622]"
74,"[9.34, 9.1, 4.45]","[[0.61, 1.61], [1.27, 2.27]]",0.67,0.5302145526783508,"[7.084302286463585, 7.482613983873159, 1.981734569437162]"
75,"[8.63, 8.02, 4.16]","[[3.98, 4.98], [5.72, 6.72]]",1.99,0.4994124086027901,"[4.738329428737802, 5.323385726079806, 1.5274207835371714]"
76,"[9.38, 7.48, 4.01]","[[3.58, 4.58], [5.42, 6.42]]",2.44,0.4968046903045642,"[0.6608148972769844, 3.4146100304369784, 0.5164706363929764]"
77,"[11.4, 6.85, 4.02]","[[1.11, 2.11], [3.25, 4.25]]",3.48,0.5091735837374757,"[9.488609059300307, 5.392919402776867, 1.826807351458669]"
78,"[7.96, 9.14, 3.74]","[[2.02, 3.02], [3.19, 4.19]]",1.46,0.49303002507471505,"[4.335229578985318, 4.522441740651254, 1.308389180589838]"
79,"[11.31, 8.57, 2.77]","[[8.47, 9.47], [3.8, 4.8]]",2.15,0.4915200309374065,"[6.459517002419647, 3.469873723748615, 1.3529795932196838]"
80,"[10.8, 10.12, 4.32]","[[8.36, 9.36], [5.2, 6.2]]",1.24,0.555262883849467,"[0.776287929567382, 7.0959050797075784, 0.7690132085242976]"
81,"[9.66, 8.16, 3.71]","[[8.06, 9.06], [2.07, 3.07]]",2.6,0.5011707106439441,"[3.527197656550598, 0.545256598557903, 2.909907127448445]"
82,"[9.33, 9.58, 4.18]","[[7.77, 8.77], [4.95, 5.95]]",1.95,0.5288300929960207,"[2.2807336535008886, 7.416078968909401, 2.0499422977525708]"
83,"[9.74, 10.39, 3.83]","[[4.85, 5.85], [1.18, 2.18]]",2.45,0.5329770523851481,"[7.8284861264246235, 7.562405493076271, 2.7899191719719765]"
84,"[7.56, 10.99, 4.05]","[[5.32, 6.32], [2.79, 3.79]]",3.38,0.5170133728962351,"[0.8686800849032332, 2.85271854833372, 1.896692498253113]"
85,"[8.98, 11.85, 3.74]","[[4.53, 5.53], [9.67, 10.67]]",2.49,0.5359652351956159,"[8.010310817193568, 4.124612415310343, 0.720504628267782]"
86,"[10.53, 10.27, 3.85]","[[5.73, 6.73], [2.56, 3.56]]",0.92,0.541059481515729,"[3.2288227766525424, 1.313504511988834, 2.3393192917867696]"
87,"[10.03, 10.61, 3.56]","[[0.53, 1.53], [6.66, 7.66]]",1.62,0.5304012418726048,"[3.868686619346524, 6.345457701781576, 0.6070703365749046]"
88,"[10.43, 8.25, 3.09]","[[2.4, 3.4], [1.5, 2.5]]",1.85,0.4904211514643355,"[9.578566283804735, 3.9397807371041345, 2.1478293939062127]"
89,"[11.68, 9.26, 4.08]","[[5.51, 6.51], [2.8, 3.8]]",3.38,0.5476256380625307,"[3.3363793955774304, 6.744561546613412, 2.129594301668137]"
90,"[6.95, 10.92, 4.23]","[[2.29, 3.29], [6.81, 7.81]]",1.09,0.5117024306868074,"[3.068873101004741, 1.4653369665509777, 2.549889287931425]"
91,"[9.16, 10.88, 3.57]","[[4.76, 5.76], [5.49, 6.49]]",0.58,0.5233100721369732,"[2.290601859857252, 5.628279473836912, 1.6460477237739333]"
92,"[10.5, 10.16, 3.93]","[[2.86, 3.86], [1.61, 2.61]]",1.32,0.541843644922249,"[6.098992357586623, 7.984882662755327, 2.216294206281302]"
93,"[11.71, 11.14, 3.45]","[[1.17, 2.17], [1.23, 2.23]]",1.18,0.5498479070556703,"[1.4678820974737532, 6.9842189178110115, 0.9503052366781681]"
94,"[10.84, 6.43, 3.76]","[[4.08, 5.08], [1.55, 2.55]]",1.06,0.48879130601410525,"[8.656284465016046, 3.2644832499183734, 1.9125115608971837]"
95,"[9.14, 9.18, 3.37]","[[0.9, 1.9], [5.79, 6.79]]",2.85,0.49736888222966724,"[4.868430656889905, 1.7190218048123296, 1.2520678442492912]"
96,"[10.89, 7.48, 3.14]","[[8.67, 9.67], [3.57, 4.57]]",1.61,0.4860433726802974,"[2.7405493586700733, 3.881048941797888, 0.5788746791655172]"
97,"[11.53, 8.82, 3.45]","[[2.49, 3.49], [6.08, 7.08]]",2.29,0.5217304167499461,"[5.60077747371808, 1.4435601980154233, 1.4453037992161797]"
98,"[11.91, 10.44, 2.75]","[[4.36, 5.36], [7.82, 8.82]]",0.59,0.5188256880346137,"[4.544329066703635, 3.4159883113336336, 1.9690410486896304]"
99,"[8.43, 11.68, 4.49]","[[6.86, 7.86], [1.51, 2.51]]",2.6,0.547834357185156,"[7.801565969003211, 8.737742181694117, 0.7252486352606387]"
100,"[11.19, 7.67, 3.17]","[[7.02, 8.02], [5.56, 6.56]]",1.19,0.4930180253007215,"[9.78171618090304, 6.276752398523596, 0.8036218722437072]"
101,"[11.9, 10.12, 3.25]","[[7.36, 8.36], [4.02, 5.02]]",1.61,0.5340788170675482,"[8.792031655239061, 9.245278440854614, 0.6670174536152967]"
102,"[10.14, 9.77, 2.75]","[[3.13, 4.13], [5.82, 6.82]]",1.54,0.49316895526205173,"[2.570738477130892, 5.498159363860483, 1.835673729505176]"
103,"[9.01, 6.83, 4.25]","[[6.05, 7.05], [4.91, 5.91]]",3.35,0.4885589504248359,"[5.435142701478855, 5.75641023020154, 2.2327273905251577]"
104,"[11.51, 9.89, 2.96]","[[3.44, 4.44], [8.31, 9.31]]",0.54,0.5171664648343365,"[2.713853820211983, 5.569919382255263, 1.277531061023967]"
105,"[8.73, 11.22, 4.02]","[[1.52, 2.52], [3.63, 4.63]]",3.17,0.5347606199646474,"[2.6514344515528636, 6.691595898025981, 0.9460666099655255]"
106,"[10.02, 11.52, 2.9]","[[0.94, 1.94], [6.34, 7.34]]",1.42,0.5164267316145179,"[4.8301324606993346, 4.433442069126897, 2.003029997263926]"
107,"[8.63, 10.88, 4.16]","[[3.24, 4.24], [1.46, 2.46]]",1.19,0.5338505856430695,"[3.8618479235656826, 9.543488925735842, 2.7355978005578696]"
108,"[9.77, 7.36, 4.18]","[[4.72, 5.72], [1.08, 2.08]]",1.03,0.5042666515561398,"[0.9852112668859847, 6.392443583559341, 3.4669859641683733]"
109,"[10.56, 6.93, 3.55]","[[3.99, 4.99], [2.94, 3.94]]",1.86,0.4878026315248205,"[3.3045517693339135, 1.9954860713827531, 2.742226334461845]"
110,"[9.21, 11.98, 3.19]","[[1.72, 2.72], [5.97, 6.97]]",2.3,0.522091854139904,"[5.873904643401618, 11.129464840397436, 1.8107906215807585]"
111,"[10.41, 7.73, 4.4]","[[5.38, 6.38], [3.14, 4.14]]",1.33,0.5227615539779127,"[0.5428893518361861, 2.124051985973929, 0.7471099628323105]"
112,"[11.57, 9.19, 2.58]","[[3.68, 4.68], [4.43, 5.43]]",2.03,0.4939498298382837,"[7.177556795896298, 8.590744133654415, 1.7858709774476151]"
113,"[8.11, 11.32, 4.05]","[[4.4, 5.4], [4.57, 5.57]]",3.44,0.5282837991123002,"[5.19293417856576, 7.206423207827926, 2.758938181271122]"
114,"[11.25, 9.05, 2.63]","[[1.43, 2.43], [7.4, 8.4]]",0.83,0.49121678103700905,"[7.554374971886002, 5.724027113989626, 0.9469836216444638]"
115,"[7.03, 9.24, 4.39]","[[4.47, 5.47], [2.27, 3.27]]",1.22,0.4983238722853336,"[3.6900003634287475, 7.635719425912108, 1.1394934884314722]"
116,"[11.88, 9.62, 2.9]","[[5.26, 6.26], [7.67, 8.67]]",1.85,0.5153012727513053,"[8.144431375611823, 5.104374627036481, 1.0960111801640018]"
117,"[7.78, 10.28, 3.48]","[[5.18, 6.18], [0.61, 1.61]]",0.76,0.495583508454837,"[6.849719620776866, 2.0680018336339145, 0.8871953393279997]"
118,"[9.59, 9.18, 3.09]","[[7.94, 8.94], [6.05, 7.05]]",0.91,0.49300113962715253,"[7.416899914264747, 7.954079781612751, 0.5606436111270512]"
119,"[9.65, 9.08, 2.89]","[[2.18, 3.18], [2.27, 3.27]]",0.74,0.4849128612015706,"[7.639784654525187, 6.123015374287511, 1.3827288544122078]"
120,"[7.25, 10.78, 4.48]","[[0.78, 1.78], [0.79, 1.79]]",3.66,0.521501043169163,"[1.0177326435283243, 8.828840686984147, 1.341172985194518]"
121,"[8.92, 11.62, 4.43]","[[1.92, 2.92], [9.12, 10.12]]",2.5,0.5521134242499112,"[1.2983016977997386, 7.439785513192243, 0.8145460079560609]"
122,"[10.69, 11.02, 4.06]","[[1.65, 2.65], [3.55, 4.55]]",1.68,0.556718186658452,"[8.905207688216093, 9.006730219888421, 1.9406603063401082]"
123,"[6.89, 11.48, 3.24]","[[3.05, 4.05], [7.99, 8.99]]",2.53,0.4862635912458101,"[3.6905914550251446, 3.55766345692285, 2.1044984842322103]"
124,"[10.64, 11.42, 3.36]","[[0.92, 1.92], [3.16, 4.16]]",2.84,0.5388462224072627,"[1.3222817799981166, 8.704502119786055, 1.2763537455713856]"
125,"[9.84, 7.41, 4.24]","[[0.6, 1.6], [2.02, 3.02]]",1.53,0.5074465823808846,"[1.6995691875175638, 0.6532203032236604, 2.681374839033218]"
126,"[11.82, 6.86, 4.4]","[[2.54, 3.54], [1.44, 2.44]]",0.95,0.5236225098719257,"[4.800219773533909, 3.2935817469684667, 0.93669624577069]"
127,"[9.3, 9.28, 4.1]","[[3.73, 4.73], [7.63, 8.63]]",1.97,0.5226918431880585,"[5.814380090994523, 3.7409881827522646, 1.3153771506731649]"
128,"[9.14, 11.71, 4.02]","[[3.91, 4.91], [4.57, 5.57]]",3.21,0.5447695774115727,"[7.175410477536918, 10.887123321893903, 1.6012379961946281]"
129,"[10.06, 10.2, 3.25]","[[4.46, 5.46], [4.32, 5.32]]",2.47,0.5160011934997821,"[3.4712869116456124, 1.823082480199194, 1.9397201802049517]"
130,"[8.21, 10.42, 4.28]","[[1.49, 2.49], [6.74, 7.74]]",2.94,0.5265502077249908,"[4.2020763619141945, 7.821227696204789, 2.5033487713679743]"
131,"[10.77, 11.4, 3.29]","[[1.97, 2.97], [7.06, 8.06]]",2.5,0.5376422776719515,"[7.906319330400276, 1.3868266176989885, 2.7018668165415725]"
132,"[11.43, 6.18, 4.28]","[[1.48, 2.48], [3.43, 4.43]]",1.98,0.5049244033692901,"[10.328144647540038, 3.680434928719388, 3.5123739200045976]"
133,"[11.25, 10.78, 2.5]","[[7.56, 8.56], [3.22, 4.22]]",1.32,0.5052449359122362,"[1.4985577878416108, 4.48753555557896, 0.9044911168281786]"
134,"[9.16, 11.49, 2.84]","[[6.53, 7.53], [2.71, 3.71]]",1.72,0.5036387990248251,"[8.471889116099373, 4.475730530669081, 0.8610671090478601]"
135,"[8.26, 9.74, 3.81]","[[3.4, 4.4], [2.04, 3.04]]",0.78,0.5064806347674005,"[7.445213831363104, 7.908306973883364, 1.2909724799671922]"
136,"[11.35, 10.26, 3.92]","[[7.67, 8.67], [3.25, 4.25]]",0.68,0.5514516152246031,"[0.5784361713799521, 2.9744658873046164, 1.9847208779929515]"
137,"[10.94, 10.94, 3.57]","[[5.63, 6.63], [3.63, 4.63]]",2.71,0.5439827436278244,"[9.227610932784163, 8.51576586788781, 2.53275220797]"
138,"[8.8, 10.21, 3.24]","[[4.63, 5.63], [0.8, 1.8]]",0.62,0.5006538903553597,"[2.8081709616899166, 3.950047784665258, 1.7002894964346464]"
139,"[9.19, 10.36, 3.2]","[[5.48, 6.48], [5.56, 6.56]]",1.89,0.5057945637299601,"[7.4821558585669266, 0.6272502420296774, 1.5607986568005452]"
140,"[6.37, 10.66, 4.2]","[[3.84, 4.84], [7.59, 8.59]]",3.46,0.49833794113018914,"[5.011931439942255, 2.0349051478645563, 1.3816536817776908]"
141,"[11.08, 6.19, 4.23]","[[6.75, 7.75], [2.63, 3.63]]",3.29,0.5002684019647686,"[5.2351352742261845, 0.6344263798105806, 2.9251635622114733]"
142,"[8.82, 7.42, 3.87]","[[6.31, 7.31], [2.58, 3.58]]",2.85,0.4849316984117371,"[1.9642857243888214, 6.519577270000685, 2.097659970336994]"
143,"[11.87, 6.57, 3.46]","[[4.72, 5.72], [2.93, 3.93]]",2.0,0.4920839686998586,"[8.680879999402595, 1.324706202650181, 1.7882130336069122]"
144,"[11.02, 9.62, 3.29]","[[9.01, 10.01], [3.04, 4.04]]",0.56,0.5210636667709239,"[2.439021132736139, 0.574062936382778, 1.5661260896404445]"
145,"[11.17, 8.11, 4.16]","[[7.85, 8.85], [2.94, 3.94]]",0.95,0.529803513067912,"[5.3704224507230585, 3.8975288526346037, 2.705896607872348]"
146,"[10.21, 8.14, 4.3]","[[5.08, 6.08], [5.03, 6.03]]",1.45,0.5238108366644816,"[2.9125044684096872, 3.4445729545780517, 2.5034559803573657]"
147,"[11.11, 9.46, 2.83]","[[1.62, 2.62], [6.84, 7.84]]",1.67,0.5030818240254071,"[9.073175709354715, 3.547913588745013, 1.5691286257597892]"
148,"[8.25, 10.89, 2.85]","[[6.59, 7.59], [3.3, 4.3]]",1.67,0.48616493896169466,"[6.030461879642076, 6.659705226191573, 2.0135223808584195]"
149,"[8.2, 11.63, 3.32]","[[5.76, 6.76], [4.05, 5.05]]",1.15,0.5101382292122124,"[6.296408997805896, 8.112587030989511, 2.2165607549575332]"
150,"[10.55, 10.74, 4.0]","[[8.1, 9.1], [2.22, 3.22]]",1.07,0.5506423504045548,"[1.2635789717928534, 8.870411546069212, 3.4011602231042004]"
151,"[9.05, 11.46, 2.99]","[[4.12, 5.12], [4.31, 5.31]]",1.82,0.5077911401418611,"[0.6308295238377818, 1.6619858272825174, 2.4434594587200125]"
152,"[11.06, 9.61, 3.44]","[[7.02, 8.02], [7.18, 8.18]]",2.87,0.5263896088742762,"[5.675683005660993, 6.290654663061906, 1.9084829777167913]"
153,"[11.34, 9.5, 4.48]","[[3.35, 4.35], [4.39, 5.39]]",3.71,0.5577398151994087,"[5.94663927984806, 7.936467205367383, 1.6672182091984014]"
154,"[8.68, 11.39, 2.64]","[[6.8, 7.8], [6.88, 7.88]]",2.11,0.4883283177926101,"[6.833352076375647, 4.279537401458363, 1.516181093789042]"
155,"[11.31, 11.89, 2.77]","[[6.24, 7.24], [6.02, 7.02]]",1.97,0.5284922994382348,"[5.851367182965142, 6.196519714496235, 1.404948776599031]"
156,"[10.19, 11.04, 3.45]","[[4.48, 5.48], [8.51, 9.51]]",2.89,0.5331302116429489,"[4.269805491118133, 2.6435692983724657, 2.0096840812742585]"
157,"[10.44, 9.04, 4.1]","[[3.71, 4.71], [6.71, 7.71]]",3.18,0.532789724323949,"[5.47605930965919, 6.909384366237644, 3.2682619295978617]"
158,"[10.0, 9.19, 3.5]","[[3.01, 4.01], [1.79, 2.79]]",0.75,0.5119197244914606,"[9.057172898786066, 7.116412146881504, 0.8753020258706857]"
159,"[11.44, 8.88, 3.24]","[[4.97, 5.97], [1.53, 2.53]]",0.54,0.5145198401149769,"[6.1919237379244345, 7.1211608971324, 2.4900904516119624]"
160,"[11.95, 9.47, 4.1]","[[8.37, 9.37], [3.92, 4.92]]",2.37,0.5532904526618629,"[9.917312371739646, 2.33528247344712, 0.6139463716102679]"
