room_index,room_dim,mic_region,z_slice,t60,source_position
13,"[8.99, 7.86, 4.16]","[[3.83, 4.83], [3.94, 4.94]]",2.77,0.5017516477838386,"[1.4760598798501046, 4.707212720635936, 1.8267057416818786]"
14,"[9.18, 11.01, 2.87]","[[4.94, 5.94], [7.81, 8.81]]",1.02,0.5002530931958166,"[2.9043134137513076, 10.489412024193179, 2.032194196032915]"
15,"[10.54, 9.49, 4.38]","[[7.12, 8.12], [5.45, 6.45]]",2.9,0.5468110427900592,"[3.2983069131712055, 4.7426515582954725, 3.0213430351212356]"
16,"[7.31, 9.47, 3.77]","[[4.95, 5.95], [7.93, 8.93]]",1.28,0.488318263603401,"[2.4673343714507068, 4.400970982953453, 2.602698529863229]"
17,"[7.22, 10.28, 3.85]","[[2.21, 3.21], [3.87, 4.87]]",2.54,0.4985576708517232,"[1.3532958594648334, 8.583238028724805, 0.9404360791590591]"
18,"[10.51, 10.85, 3.17]","[[7.98, 8.98], [1.1, 2.1]]",2.5,0.525103846271941,"[8.003877164107461, 4.733680252082549, 1.3143708181675566]"
19,"[10.67, 10.64, 3.67]","[[4.54, 5.54], [8.6, 9.6]]",3.15,0.541140749025253,"[1.9608839896360837, 9.405009624948944, 1.4892353694323637]"
20,"[7.09, 10.66, 3.73]","[[2.94, 3.94], [1.11, 2.11]]",1.18,0.49702919063740003,"[1.4762827409457115, 7.20353489023806, 2.5534838133510203]"
21,"[10.35, 8.73, 2.79]","[[8.07, 9.07], [0.91, 1.91]]",2.12,0.48440528716074704,"[3.1702111568923965, 7.09593476725438, 1.4408911302842662]"
22,"[10.38, 7.13, 4.19]","[[2.66, 3.66], [5.06, 6.06]]",3.68,0.507790235645956,"[9.480136382663197, 5.949901712374312, 1.2102733346125718]"
23,"[11.25, 7.62, 3.27]","[[7.67, 8.67], [0.71, 1.71]]",2.42,0.49639036407628956,"[7.3205443886289645, 4.620511427264731, 2.198035121060419]"
24,"[6.64, 11.22, 3.36]","[[2.68, 3.68], [2.25, 3.25]]",0.76,0.483610055556281,"[4.316739573854083, 6.025113419436368, 1.9583599617352314]"
25,"[9.63, 6.47, 4.34]","[[5.06, 6.06], [4.89, 5.89]]",2.31,0.4923252772994938,"[6.2414515210860015, 2.4521480290856754, 2.3445984789700844]"
26,"[8.92, 8.03, 3.53]","[[1.25, 2.25], [1.17, 2.17]]",2.36,0.4847423273110829,"[1.0230287034565735, 3.338516485174066, 0.8991230025194513]"
27,"[10.85, 6.79, 3.94]","[[8.34, 9.34], [3.26, 4.26]]",3.32,0.5003268909155623,"[6.6189423980965545, 2.894142713564789, 1.0514841648181923]"
28,"[10.48, 8.37, 3.48]","[[7.14, 8.14], [1.31, 2.31]]",2.81,0.5060131559927626,"[4.996626016026633, 1.4068707475953124, 2.3808804335999554]"
29,"[7.32, 10.85, 3.88]","[[0.85, 1.85], [7.27, 8.27]]",2.47,0.5070808616576583,"[1.4998210187265806, 8.602175030575397, 2.651611657393928]"
30,"[7.97, 11.5, 3.37]","[[5.98, 6.98], [4.23, 5.23]]",2.51,0.5073443762814763,"[2.501577481225899, 3.025713539209924, 2.618246772693986]"
31,"[9.37, 11.13, 3.54]","[[5.0, 6.0], [1.79, 2.79]]",0.57,0.5274818844845514,"[5.459497006023927, 1.494642933236205, 1.0750361410978457]"
32,"[9.28, 8.69, 4.15]","[[4.0, 5.0], [2.3, 3.3]]",3.32,0.5164001208387015,"[5.701718684252312, 8.188626440184807, 2.5560700358227075]"
33,"[8.41, 10.01, 4.19]","[[1.05, 2.05], [8.07, 9.07]]",0.59,0.5223354650233167,"[2.0353006176650092, 7.276018062331111, 2.287435726227497]"
34,"[10.79, 7.61, 4.43]","[[7.67, 8.67], [1.71, 2.71]]",1.66,0.5258105551959038,"[7.995240226988742, 5.362618788003891, 3.0449320759974277]"
35,"[11.4, 11.44, 3.15]","[[1.17, 2.17], [4.85, 5.85]]",2.2,0.5395467716916004,"[8.772742520032663, 9.571175949638507, 1.2809018022887981]"
36,"[9.47, 9.34, 4.22]","[[0.51, 1.51], [3.07, 4.07]]",1.93,0.5287224196107106,"[0.688926205805216, 2.1725521327813624, 2.5847603704143345]"
37,"[9.2, 11.67, 2.7]","[[2.79, 3.79], [3.19, 4.19]]",0.84,0.5001778363629773,"[7.454718097272228, 4.053798789219281, 2.156073719326665]"
38,"[11.13, 9.78, 3.93]","[[6.76, 7.76], [5.59, 6.59]]",0.59,0.5441189080694114,"[5.150041298333722, 3.484235470552716, 3.2148131064288377]"
39,"[10.82, 8.63, 4.23]","[[6.74, 7.74], [4.87, 5.87]]",2.98,0.5351103902038087,"[5.762168479985443, 5.87490511825951, 2.506319450958353]"
40,"[10.06, 9.05, 4.45]","[[5.6, 6.6], [5.84, 6.84]]",0.95,0.5379777084355712,"[4.49516309475983, 7.6607280124785415, 3.8906444714646478]"
41,"[10.24, 11.63, 2.53]","[[8.29, 9.29], [3.69, 4.69]]",1.97,0.5045400500614603,"[7.575054391585904, 5.611545048243979, 1.4310627199446717]"
42,"[11.73, 10.32, 3.79]","[[4.67, 5.67], [7.71, 8.71]]",2.99,0.5520203990374465,"[4.049262043837377, 4.152844735232081, 2.622195087491004]"
43,"[10.62, 11.19, 2.92]","[[4.65, 5.65], [5.94, 6.94]]",0.72,0.5204877382277768,"[7.150710624362014, 2.337555882945222, 1.1692001005535313]"
44,"[11.28, 11.48, 3.26]","[[3.71, 4.71], [9.86, 10.86]]",1.11,0.5426218328220765,"[10.104457938922762, 10.546722801659508, 1.1301107210606722]"
45,"[9.51, 11.45, 4.31]","[[7.5, 8.5], [2.82, 3.82]]",3.38,0.5545804511812535,"[6.2531949148082395, 8.673031736807134, 3.29556994105411]"
46,"[11.12, 8.08, 3.86]","[[1.86, 2.86], [0.66, 1.66]]",0.66,0.5204268977000187,"[1.5396366203930132, 1.273270096546721, 0.5026419313288117]"
47,"[7.86, 11.0, 3.74]","[[5.92, 6.92], [6.34, 7.34]]",3.24,0.5125185766835094,"[6.248193621329991, 5.937093793800258, 1.655262468551189]"
48,"[7.66, 11.27, 3.6]","[[4.64, 5.64], [4.62, 5.62]]",0.93,0.5080383484759594,"[3.119958352171279, 2.351654113155236, 0.7265845996289597]"
49,"[9.54, 7.16, 3.76]","[[7.47, 8.47], [1.1, 2.1]]",1.82,0.4865088029042991,"[5.309689995840046, 0.6623343365119678, 1.8680736325532943]"
50,"[7.19, 11.7, 3.11]","[[5.06, 6.06], [1.68, 2.68]]",0.69,0.48859553670052924,"[2.5175052039474624, 9.341474124207421, 1.833340097841454]"
51,"[7.9, 9.38, 3.57]","[[2.53, 3.53], [0.84, 1.84]]",1.85,0.4898495179032418,"[3.263992372789017, 8.621146550881729, 2.3406007250694945]"
52,"[9.59, 10.14, 3.49]","[[7.88, 8.88], [4.05, 5.05]]",0.61,0.5179773171730617,"[4.391668399396929, 1.9145103591554686, 1.9959706707383742]"
53,"[8.59, 8.78, 3.4]","[[3.02, 4.02], [7.01, 8.01]]",2.62,0.486331315162696,"[7.0186970324726055, 2.294928136308312, 0.539034706212134]"
54,"[10.46, 10.49, 3.03]","[[4.23, 5.23], [8.29, 9.29]]",2.5,0.5156549483190508,"[3.8850043974993342, 0.5592070914305729, 1.3616444532658791]"
55,"[8.11, 11.89, 3.28]","[[2.84, 3.84], [8.32, 9.32]]",1.51,0.510019903660797,"[5.376173187797551, 3.9875207207740266, 2.0431931669020833]"
56,"[8.6, 11.06, 3.32]","[[0.71, 1.71], [7.01, 8.01]]",0.98,0.5098418320982336,"[0.7665500039829356, 1.0727850821622993, 1.3011880419949025]"
57,"[9.78, 9.94, 3.78]","[[2.67, 3.67], [4.43, 5.43]]",0.6,0.5269564301457563,"[7.0698514486864426, 8.995263463409188, 1.3400243124282296]"
58,"[10.21, 11.61, 2.55]","[[5.35, 6.35], [2.52, 3.52]]",0.71,0.5049035169874543,"[9.16734813234662, 6.637335553371397, 1.0632840683251477]"
59,"[8.44, 11.01, 3.46]","[[2.01, 3.01], [2.47, 3.47]]",1.47,0.5118735247414476,"[7.019578046259504, 7.404057660469512, 1.3624134821571015]"
60,"[11.09, 11.17, 3.0]","[[0.93, 1.93], [5.97, 6.97]]",0.83,0.5282275532359523,"[9.697572517555926, 0.9374858310824017, 2.3690241750263774]"
61,"[11.51, 6.31, 4.12]","[[3.54, 4.54], [1.45, 2.45]]",3.51,0.5037604937158358,"[7.786593172146171, 3.5310924576252227, 2.4506161869353624]"
62,"[8.89, 10.17, 3.77]","[[6.14, 7.14], [7.81, 8.81]]",2.15,0.5184666566656753,"[4.586936591079301, 4.407735190513543, 2.1356029115608424]"
63,"[11.14, 11.03, 4.02]","[[8.11, 9.11], [6.04, 7.04]]",1.44,0.5603585566542163,"[9.839691132034893, 5.962359533933181, 0.8473362322028949]"
64,"[10.9, 8.9, 2.9]","[[2.98, 3.98], [0.74, 1.74]]",0.96,0.49679577064596814,"[5.320716141186758, 0.8705823144919171, 2.040220994600095]"
65,"[11.59, 11.49, 3.47]","[[3.88, 4.88], [7.55, 8.55]]",2.65,0.5528305642551163,"[4.319798918518986, 1.550922439276565, 2.1486560280582063]"
66,"[6.37, 10.42, 4.5]","[[1.0, 2.0], [5.1, 6.1]]",3.88,0.503557112919292,"[2.083291958396355, 2.5992630919942354, 1.1760582592914965]"
67,"[10.5, 7.45, 3.99]","[[7.06, 8.06], [1.9, 2.9]]",2.43,0.5085228015512947,"[9.334430474558815, 2.4999394387490224, 1.7599385193256487]"
68,"[10.65, 9.05, 3.54]","[[4.33, 5.33], [2.18, 3.18]]",1.94,0.5185803767414944,"[9.737500588052175, 3.604597076893454, 2.774379287024218]"
69,"[11.32, 11.7, 2.68]","[[0.92, 1.92], [2.4, 3.4]]",1.87,0.5230434414830728,"[10.57909528377092, 10.988621417429377, 0.6571325046698185]"
70,"[11.71, 8.18, 3.34]","[[5.87, 6.87], [6.61, 7.61]]",2.78,0.5113147330443651,"[6.015301681033637, 2.601684315709685, 2.158731026134201]"
71,"[8.37, 8.75, 3.63]","[[6.58, 7.58], [2.05, 3.05]]",2.94,0.4904064353734383,"[2.2778051980919116, 4.5929795050901765, 1.3084705890526753]"
72,"[10.87, 10.83, 2.86]","[[9.12, 10.12], [8.87, 9.87]]",2.12,0.517078248798571,"[9.103455005302376, 9.046619136619091, 1.608971607336287]"
73,"[10.05, 9.86, 2.88]","[[0.99, 1.99], [4.96, 5.96]]",1.17,0.498413220758807,"[5.819787944850402, 8.739712479079992, 2.1793876887532324]"
74,"[10.86, 10.77, 3.09]","[[2.07, 3.07], [3.94, 4.94]]",1.76,0.5250810420736676,"[5.139417347505016, 6.008397203507734, 2.3184098531398716]"
75,"[9.4, 10.31, 4.33]","[[3.89, 4.89], [3.13, 4.13]]",0.61,0.541947347961511,"[2.551244660478291, 1.7623349199811302, 2.9506741996774313]"
76,"[11.26, 7.04, 4.35]","[[1.28, 2.28], [3.05, 4.05]]",2.63,0.51977607971914,"[9.827458690712024, 6.07919962265434, 2.2850084353670086]"
77,"[9.54, 11.88, 3.23]","[[7.06, 8.06], [6.89, 7.89]]",1.48,0.5265275077968969,"[8.421086564779165, 4.2661620437613035, 0.5478605168919919]"
78,"[9.88, 10.55, 3.54]","[[4.04, 5.04], [7.25, 8.25]]",2.23,0.5274232932242531,"[1.8597862688002016, 9.630509025374973, 2.270160603716251]"
79,"[8.55, 11.53, 3.39]","[[3.95, 4.95], [1.08, 2.08]]",1.26,0.516238731258748,"[1.535365636793694, 7.274635042260367, 1.4259306964627019]"
80,"[9.41, 6.95, 4.2]","[[0.95, 1.95], [3.09, 4.09]]",3.63,0.4940941667879706,"[4.323904136345191, 3.078880520285991, 0.5508489266698746]"
81,"[9.64, 9.42, 4.5]","[[1.01, 2.01], [1.01, 2.01]]",1.8,0.5389485171224735,"[5.940080512590409, 2.499080034139998, 2.512220610905761]"
82,"[9.6, 7.73, 3.65]","[[5.61, 6.61], [4.65, 5.65]]",1.91,0.49251333376773565,"[8.974431028211786, 5.531203807503208, 2.806741331504511]"
83,"[6.4, 10.86, 4.07]","[[4.57, 5.57], [6.6, 7.6]]",1.46,0.49741709420010316,"[1.3052794955161355, 7.706343908867593, 3.244560507711885]"
84,"[9.87, 9.7, 3.17]","[[1.45, 2.45], [4.42, 5.42]]",1.21,0.5053585187799446,"[6.607602385627514, 8.185857036703295, 2.098934746130549]"
85,"[10.29, 7.84, 3.88]","[[1.56, 2.56], [4.49, 5.49]]",3.18,0.5088464223906805,"[7.33160897849631, 3.1048847422950483, 1.5445758517987231]"
86,"[10.48, 9.72, 4.38]","[[3.16, 4.16], [1.74, 2.74]]",2.27,0.5488704311003013,"[7.842980097238205, 6.44956232056023, 1.0996038519702895]"
87,"[8.04, 9.24, 4.42]","[[0.58, 1.58], [4.22, 5.22]]",3.78,0.514251075222589,"[1.1644177072559274, 6.336243957299561, 3.408798372766447]"
88,"[10.44, 9.51, 3.84]","[[3.07, 4.07], [5.35, 6.35]]",1.52,0.5311151823925089,"[3.583075403719507, 5.738712022312622, 3.0149683916057306]"
89,"[10.57, 11.68, 3.43]","[[6.91, 7.91], [5.12, 6.12]]",1.46,0.5429711070329102,"[2.879270698664655, 1.7410131442757621, 2.1783087362301217]"
90,"[9.83, 7.19, 3.95]","[[3.52, 4.52], [5.61, 6.61]]",1.88,0.49592867099878446,"[1.448407576307346, 2.882240706105885, 1.957183062323406]"
91,"[11.52, 6.51, 3.84]","[[3.64, 4.64], [2.3, 3.3]]",3.0,0.49943481992595806,"[2.5974815207862747, 5.955717322387472, 0.6765776919769799]"
92,"[11.1, 7.5, 4.14]","[[3.75, 4.75], [2.51, 3.51]]",2.89,0.5197199916578067,"[7.55605668839822, 4.214102173055656, 3.4294583871280895]"
93,"[10.4, 10.42, 3.68]","[[8.69, 9.69], [1.41, 2.41]]",3.16,0.536194708003309,"[9.163361354835772, 0.6376954036713128, 1.8695006392467126]"
94,"[10.77, 10.5, 3.85]","[[0.93, 1.93], [0.76, 1.76]]",2.69,0.5461050902878694,"[8.90458896796184, 7.835943761969059, 1.4938513201585626]"
95,"[11.92, 9.92, 3.71]","[[9.55, 10.55], [7.82, 8.82]]",1.17,0.546962077665095,"[4.305875327889191, 6.328751193485753, 3.0081627328274925]"
96,"[10.65, 9.09, 2.8]","[[2.21, 3.21], [5.31, 6.31]]",2.24,0.49259859580812526,"[7.806572254986206, 8.440463074719288, 1.0402908401694053]"
97,"[10.3, 11.3, 2.72]","[[7.86, 8.86], [1.67, 2.67]]",1.3,0.5101259887779256,"[6.073866716069759, 3.6175236869495406, 1.5827301479645022]"
98,"[9.61, 10.29, 3.89]","[[2.33, 3.33], [6.98, 7.98]]",1.53,0.5321229745767384,"[3.1112911652999453, 7.445867379212072, 2.8337011817041424]"
99,"[9.33, 7.48, 4.06]","[[2.18, 3.18], [4.51, 5.51]]",2.66,0.49760041154892043,"[2.225988135942673, 1.7865514930092241, 1.7340794520180867]"
100,"[9.52, 11.02, 2.51]","[[5.06, 6.06], [9.16, 10.16]]",1.35,0.4893279887391324,"[3.4616035127874474, 2.0469338354424487, 1.8326354105732081]"
101,"[9.99, 10.37, 2.72]","[[7.31, 8.31], [0.99, 1.99]]",2.16,0.49697741864879763,"[6.6143320291549905, 5.573881413001747, 1.8844649625899854]"
102,"[10.73, 8.13, 4.22]","[[2.13, 3.13], [4.42, 5.42]]",2.84,0.5271607068156402,"[5.921263135098077, 6.41960800432772, 3.4682627649900235]"
103,"[11.81, 6.69, 3.61]","[[1.25, 2.25], [4.25, 5.25]]",0.5,0.4983476364946189,"[2.9221315373818566, 2.5701219997190172, 2.1795611109323483]"
104,"[9.83, 8.87, 4.34]","[[6.99, 7.99], [4.85, 5.85]]",1.08,0.5302713854658568,"[5.393731483333439, 4.027401705335336, 1.8455391471198346]"
105,"[11.39, 10.86, 3.29]","[[6.88, 7.88], [2.17, 3.17]]",2.03,0.5384828562932947,"[5.896592461041763, 5.619306331682482, 1.0232223191652672]"
106,"[11.33, 10.21, 2.62]","[[1.36, 2.36], [8.39, 9.39]]",1.4,0.5052048052502138,"[10.101671275465991, 8.59905055975742, 0.8916982731012083]"
107,"[9.95, 6.49, 3.97]","[[8.44, 9.44], [0.8, 1.8]]",3.1,0.4863031539203946,"[5.6582212718906755, 3.4221816949993036, 1.9803242017562661]"
108,"[11.09, 10.23, 3.91]","[[3.25, 4.25], [5.0, 6.0]]",3.04,0.5482158236868686,"[3.0204507070291284, 8.23546957460691, 0.7389246206243405]"
109,"[7.18, 8.5, 4.36]","[[5.18, 6.18], [5.83, 6.83]]",3.68,0.4905077633985465,"[4.122465092911906, 3.6315750510883547, 3.8353880857653526]"
110,"[11.57, 8.4, 4.16]","[[5.93, 6.93], [5.13, 6.13]]",0.52,0.5377435536664973,"[9.8110332710228, 3.386690771088544, 2.7644361556755483]"
111,"[11.79, 9.98, 3.32]","[[9.41, 10.41], [5.38, 6.38]]",1.85,0.5338634318224891,"[5.664469696677457, 6.782459500644478, 0.5533231406720519]"
112,"[10.9, 9.08, 3.67]","[[0.82, 1.82], [2.54, 3.54]]",2.89,0.5256463867855875,"[9.030377732899755, 8.049324557509081, 1.4385020278303489]"
113,"[11.56, 10.37, 3.85]","[[9.46, 10.46], [0.84, 1.84]]",2.64,0.5526913031953334,"[1.2994945592583051, 9.243555675888878, 2.991251608868045]"
114,"[11.96, 11.7, 2.5]","[[0.91, 1.91], [1.99, 2.99]]",1.3,0.5214028330183538,"[10.086252381280966, 2.8342569240821374, 1.165520175741296]"
115,"[11.46, 8.86, 3.68]","[[3.01, 4.01], [4.37, 5.37]]",0.65,0.5288412011299043,"[6.3787866988160165, 3.2567902048508053, 2.4078864884245403]"
116,"[9.47, 10.86, 2.79]","[[1.47, 2.47], [5.12, 6.12]]",0.76,0.49902384195772187,"[6.616641881599001, 7.395882568801748, 2.1058829619528754]"
117,"[7.55, 11.97, 3.48]","[[2.54, 3.54], [9.22, 10.22]]",1.01,0.5093812899553667,"[6.280996859788179, 6.853355704491039, 1.1900199419832953]"
118,"[7.77, 9.55, 4.33]","[[0.88, 1.88], [1.39, 2.39]]",2.91,0.5117971945518868,"[5.611874322514911, 7.368319609099973, 3.304035869414879]"
119,"[10.71, 10.08, 3.47]","[[9.17, 10.17], [5.27, 6.27]]",2.39,0.5291306642103814,"[8.261614351817347, 7.299321305531181, 1.4557698387224758]"
120,"[9.05, 11.85, 3.39]","[[4.95, 5.95], [4.39, 5.39]]",2.29,0.5257473232161461,"[8.31501893630231, 5.505717563186116, 2.494110631125957]"
121,"[6.35, 10.2, 4.1]","[[3.45, 4.45], [3.44, 4.44]]",1.36,0.4902810159811434,"[2.361847782122279, 4.9785981023903005, 3.036267754751406]"
122,"[9.37, 8.6, 3.65]","[[3.54, 4.54], [2.13, 3.13]]",0.95,0.5018180357128333,"[8.596044796386625, 6.01624036604957, 2.421657883507531]"
123,"[11.09, 11.81, 3.65]","[[6.9, 7.9], [1.68, 2.68]]",0.87,0.556663320136979,"[6.300619855106743, 9.189635369665886, 1.8237703488084507]"
124,"[6.53, 11.6, 3.41]","[[1.14, 2.14], [9.73, 10.73]]",2.3,0.4871526428685674,"[2.475387452977098, 0.8651323320026041, 2.831575725344306]"
125,"[9.37, 8.41, 4.38]","[[5.84, 6.84], [2.83, 3.83]]",3.62,0.5198825212693454,"[4.507096014125753, 4.271324784299986, 0.5040845471861234]"
126,"[11.36, 7.55, 3.45]","[[5.07, 6.07], [4.74, 5.74]]",2.93,0.5024975383001402,"[7.668150173491983, 1.6749218740232454, 2.8342617600893383]"
127,"[9.54, 11.19, 4.13]","[[1.11, 2.11], [7.1, 8.1]]",2.01,0.5475254133511,"[2.1155671956871998, 3.1446320371331353, 0.7588203136258409]"
128,"[10.42, 8.38, 3.04]","[[5.44, 6.44], [5.56, 6.56]]",0.69,0.4902361835126593,"[2.9149863311345556, 3.7025346825624466, 1.2881770155909256]"
129,"[11.96, 7.55, 4.08]","[[9.05, 10.05], [2.42, 3.42]]",1.77,0.5272479565365796,"[5.067460252188688, 7.030132622873226, 3.5739374141168327]"
130,"[11.55, 7.7, 4.0]","[[1.01, 2.01], [4.05, 5.05]]",1.18,0.523294502189438,"[6.461672287164135, 4.832342218484316, 2.382589096241825]"
131,"[9.22, 11.91, 3.77]","[[1.82, 2.82], [8.53, 9.53]]",0.89,0.5404158485129719,"[1.72755812523852, 6.373650987998919, 2.435294770735586]"
132,"[8.27, 9.07, 3.72]","[[3.2, 4.2], [5.11, 6.11]]",1.1,0.4958704914885803,"[3.7161647387577275, 6.614597407801514, 2.8287025779441324]"
133,"[9.41, 9.96, 2.8]","[[5.63, 6.63], [6.66, 7.66]]",0.92,0.4889418182302254,"[2.718884441666132, 6.239631673438812, 0.5960469175050238]"
134,"[11.62, 7.23, 3.27]","[[9.91, 10.91], [4.12, 5.12]]",2.13,0.4941119662823735,"[1.187964643235032, 4.998617075851105, 1.592625960686853]"
135,"[7.1, 11.2, 4.49]","[[1.06, 2.06], [0.97, 1.97]]",3.77,0.5237079052220709,"[0.8031793470382289, 3.829305899885356, 1.0918691042267987]"
136,"[6.53, 10.49, 3.87]","[[3.03, 4.03], [4.36, 5.36]]",0.86,0.49008390496676124,"[2.604339878572782, 6.2856614986570625, 0.5141187065273569]"
137,"[9.75, 10.15, 4.47]","[[1.87, 2.87], [3.6, 4.6]]",1.81,0.5479023270807233,"[5.825848342034113, 2.3760123020814605, 3.14007571262111]"
138,"[11.23, 11.28, 3.14]","[[2.21, 3.21], [6.55, 7.55]]",0.71,0.535900811035319,"[9.07234795455749, 2.8160797887442697, 2.5285337190217514]"
139,"[10.84, 6.27, 4.22]","[[2.79, 3.79], [3.68, 4.68]]",1.79,0.4989784112386373,"[1.5212210170430147, 4.471725006372685, 2.9811475382068644]"
140,"[10.45, 10.67, 2.76]","[[0.55, 1.55], [8.17, 9.17]]",1.15,0.5069293459035578,"[6.8625314384589435, 2.9242604936773247, 0.6554419783720334]"
141,"[7.15, 10.58, 4.17]","[[2.3, 3.3], [4.96, 5.96]]",0.75,0.5097212187632414,"[1.5326144503399297, 6.945670924635771, 2.373164104088349]"
142,"[9.98, 9.09, 3.3]","[[6.78, 7.78], [3.17, 4.17]]",1.22,0.5038141747406788,"[8.240770876436907, 7.069585281310576, 2.2975839230863793]"
143,"[10.84, 10.69, 3.93]","[[2.2, 3.2], [3.27, 4.27]]",0.98,0.5511838798245089,"[3.5403853393610882, 6.478181059137837, 0.6099021839048879]"
144,"[11.87, 7.34, 3.58]","[[6.92, 7.92], [1.87, 2.87]]",2.12,0.5084477494337795,"[5.214326349363856, 2.181741494589713, 2.2714067369016107]"
145,"[10.75, 11.45, 3.16]","[[2.2, 3.2], [3.43, 4.43]]",0.83,0.533374268721943,"[1.0733170844367785, 2.133702559014356, 0.7781885747691744]"
146,"[11.04, 9.38, 2.64]","[[3.51, 4.51], [3.91, 4.91]]",1.67,0.4935617180469397,"[0.5161340226579308, 4.00793408236306, 1.5540236195133215]"
147,"[10.89, 11.83, 2.91]","[[3.31, 4.31], [4.69, 5.69]]",1.57,0.5292154594760994,"[5.134333756389614, 3.786683931120908, 2.097487820265151]"
148,"[10.87, 10.87, 2.62]","[[2.49, 3.49], [1.71, 2.71]]",1.37,0.507597698668007,"[0.9153992834161238, 9.45068541978088, 1.439430760935344]"
149,"[9.77, 10.53, 3.31]","[[7.38, 8.38], [3.19, 4.19]]",2.75,0.5183592414567944,"[7.446411490227568, 2.4113577571073725, 1.6501684231187503]"
150,"[9.33, 8.17, 4.16]","[[7.8, 8.8], [3.81, 4.81]]",0.68,0.5103112280354711,"[2.5613761739896246, 4.909561587891072, 2.8177054705545195]"
151,"[11.94, 8.65, 3.11]","[[4.89, 5.89], [1.66, 2.66]]",2.52,0.5117630140541005,"[4.580644928455341, 6.932115127626502, 1.6429131102296652]"
152,"[11.06, 9.89, 3.39]","[[2.61, 3.61], [6.51, 7.51]]",1.6,0.5279792903599246,"[5.6521947045963765, 2.342824792790056, 2.642390920021106]"
153,"[10.43, 6.15, 4.29]","[[1.89, 2.89], [2.41, 3.41]]",1.18,0.49430034626053465,"[1.0849482101008365, 2.40200148197458, 3.6979165757968224]"
154,"[11.83, 11.66, 2.75]","[[0.77, 1.77], [9.01, 10.01]]",1.15,0.530544157109109,"[9.135065126349623, 0.8680219444030619, 2.116340225476353]"
155,"[8.66, 10.17, 4.26]","[[4.3, 5.3], [0.85, 1.85]]",1.85,0.5293045954511306,"[5.636047308920742, 4.428767551612093, 3.6473949786131]"
156,"[9.17, 10.95, 3.23]","[[7.46, 8.46], [8.58, 9.58]]",1.33,0.5128563540660879,"[2.5676743671007407, 9.95812486649158, 0.6469516881710958]"
157,"[8.97, 8.98, 4.06]","[[3.53, 4.53], [6.66, 7.66]]",1.23,0.5137946514550336,"[2.3383872939871746, 2.125071439578573, 1.4178940842996484]"
158,"[8.89, 10.36, 3.95]","[[5.69, 6.69], [6.19, 7.19]]",0.78,0.525823239121531,"[7.847466851938215, 1.455168813555857, 1.4475055487170887]"
159,"[9.95, 8.67, 4.24]","[[7.94, 8.94], [6.96, 7.96]]",0.92,0.5264340890518138,"[5.1535230618283245, 5.608393447311925, 2.8010344425236204]"
160,"[10.71, 11.08, 2.91]","[[9.08, 10.08], [6.17, 7.17]]",2.33,0.5199377772546452,"[5.693649139702185, 3.384229065538717, 2.0438719231557902]"
